,Feature,SHAP Importance
238,Model_86,0.0
225,Model_73,0.0
226,Model_74,0.0
227,Model_75,0.0
228,Model_76,0.0
229,Model_77,0.0
230,Model_78,0.0
231,Model_79,0.0
232,Model_80,0.0
233,Model_81,0.0
234,Model_82,0.0
235,Model_83,0.0
236,Model_84,0.0
210,Model_56,0.0
209,Model_55,0.0
208,Model_54,0.0
207,Model_53,0.0
182,Model_28,0.0
183,Model_29,0.0
184,Model_30,0.0
185,Model_31,0.0
186,Model_32,0.0
187,Model_33,0.0
188,Model_34,0.0
189,Model_35,0.0
190,Model_36,0.0
191,Model_37,0.0
192,Model_38,0.0
193,Model_39,0.0
194,Model_40,0.0
195,Model_41,0.0
196,Model_42,0.0
197,Model_43,0.0
198,Model_44,0.0
199,Model_45,0.0
200,Model_46,0.0
201,Model_47,0.0
202,Model_48,0.0
203,Model_49,0.0
204,Model_50,0.0
205,Model_51,0.0
206,Model_52,0.0
237,Model_85,0.0
239,Model_87,0.0
534,Model_412,0.0
282,Model_133,0.0
270,Model_119,0.0
271,Model_120,0.0
272,Model_122,0.0
273,Model_123,0.0
274,Model_124,0.0
275,Model_125,0.0
276,Model_126,0.0
277,Model_128,0.0
278,Model_129,0.0
279,Model_130,0.0
280,Model_131,0.0
281,Model_132,0.0
283,Model_136,0.0
240,Model_88,0.0
284,Model_137,0.0
285,Model_138,0.0
286,Model_140,0.0
287,Model_142,0.0
288,Model_143,0.0
289,Model_144,0.0
290,Model_145,0.0
291,Model_146,0.0
292,Model_147,0.0
293,Model_148,0.0
294,Model_149,0.0
295,Model_150,0.0
269,Model_117,0.0
268,Model_116,0.0
267,Model_115,0.0
266,Model_114,0.0
241,Model_89,0.0
242,Model_90,0.0
243,Model_91,0.0
244,Model_92,0.0
245,Model_93,0.0
246,Model_94,0.0
247,Model_95,0.0
248,Model_96,0.0
249,Model_97,0.0
250,Model_98,0.0
251,Model_99,0.0
252,Model_100,0.0
253,Model_101,0.0
254,Model_102,0.0
255,Model_103,0.0
256,Model_104,0.0
257,Model_105,0.0
258,Model_106,0.0
259,Model_107,0.0
260,Model_108,0.0
261,Model_109,0.0
262,Model_110,0.0
263,Model_111,0.0
264,Model_112,0.0
265,Model_113,0.0
181,Model_27,0.0
180,Model_26,0.0
179,Model_25,0.0
97,Color_120,0.0
85,Color_63,0.0
86,Color_70,0.0
87,Color_71,0.0
88,Color_72,0.0
89,Color_73,0.0
90,Color_80,0.0
91,Color_81,0.0
92,Color_90,0.0
93,Color_91,0.0
94,Color_92,0.0
95,Color_100,0.0
96,Color_110,0.0
99,Color_131,0.0
178,Model_24,0.0
100,Color_132,0.0
101,Color_140,0.0
102,Color_150,0.0
103,Color_160,0.0
104,Color_170,0.0
105,Color_180,0.0
107,Color_200,0.0
108,Color_210,0.0
109,Brand_4,0.0
41,Clime_4,0.0
111,Brand_10,0.0
113,Brand_15,0.0
84,Color_62,0.0
83,Color_61,0.0
82,Color_60,0.0
81,Color_50,0.0
52,Shifter_9,0.0
53,Shifter_10,0.0
54,Shifter_11,0.0
55,Shifter_13,0.0
49,Shifter_6,0.0
47,Shifter_4,0.0
58,Shifter_16,0.0
59,Shifter_17,0.0
60,Shifter_18,0.0
61,Shifter_19,0.0
62,Shifter_20,0.0
63,Shifter_21,0.0
64,Shifter_22,0.0
65,Shifter_23,0.0
66,Shifter_24,0.0
46,Shifter_3,0.0
68,Shifter_26,0.0
45,Shifter_2,0.0
71,Shifter_29,0.0
73,Color_11,0.0
75,Color_21,0.0
76,Color_22,0.0
77,Color_23,0.0
78,Color_24,0.0
79,Color_30,0.0
