,Feature,SHAP Importance
749,Model_737,0.0
743,Model_722,0.0
744,Model_724,0.0
828,Model_906,0.0
745,Model_725,0.0
746,Model_729,0.0
747,Model_731,0.0
748,Model_733,0.0
750,Model_739,0.0
741,Model_716,0.0
751,Model_740,0.0
752,Model_741,0.0
753,Model_743,0.0
754,Model_745,0.0
755,Model_753,0.0
756,Model_754,0.0
757,Model_756,0.0
742,Model_720,0.0
740,Model_715,0.0
97,Color_120,0.0
731,Model_695,0.0
726,Model_690,0.0
681,Model_606,0.0
727,Model_691,0.0
728,Model_692,0.0
729,Model_693,0.0
730,Model_694,0.0
680,Model_604,0.0
184,Model_30,0.0
739,Model_709,0.0
183,Model_29,0.0
734,Model_698,0.0
735,Model_699,0.0
679,Model_603,0.0
678,Model_602,0.0
737,Model_701,0.0
738,Model_706,0.0
827,Model_904,0.0
302,Model_157,0.0
829,Model_908,0.0
948,Model_1223,0.0
940,Model_1201,0.0
941,Model_1202,0.0
942,Model_1205,0.0
943,Model_1207,0.0
944,Model_1209,0.0
945,Model_1213,0.0
946,Model_1219,0.0
947,Model_1220,0.0
62,Shifter_20,0.0
959,Model_1238,0.0
950,Model_1227,0.0
951,Model_1228,0.0
952,Model_1229,0.0
953,Model_1230,0.0
954,Model_1231,0.0
955,Model_1233,0.0
147,Brand_79,0.0
957,Model_1236,0.0
939,Model_1200,0.0
938,Model_1196,0.0
937,Model_1195,0.0
935,Model_1192,0.0
918,Model_1139,0.0
919,Model_1140,0.0
63,Shifter_21,0.0
921,Model_1148,0.0
922,Model_1153,0.0
923,Model_1156,0.0
924,Model_1165,0.0
925,Model_1178,0.0
926,Model_1179,0.0
927,Model_1181,0.0
928,Model_1182,0.0
929,Model_1183,0.0
930,Model_1185,0.0
931,Model_1186,0.0
932,Model_1188,0.0
933,Model_1190,0.0
934,Model_1191,0.0
958,Model_1237,0.0
960,Model_1240,0.0
916,Model_1136,0.0
120,Brand_23,0.0
983,Car Type_8,0.0
54,Shifter_11,0.0
985,Car Type_10,0.0
53,Shifter_10,0.0
988,Car Type_14,0.0
121,Brand_25,0.0
990,Fuel_1,0.0
991,Fuel_2,0.0
993,Fuel_4,0.0
961,Model_1243,0.0
119,Brand_21,0.0
996,Fuel_7,0.0
51,Shifter_8,0.0
113,Brand_15,0.0
105,Color_180,0.0
47,Shifter_4,0.0
46,Shifter_3,0.0
111,Brand_10,0.0
104,Color_170,0.0
34,Region_17,0.0
55,Shifter_13,0.0
130,Brand_45,0.0
962,Model_1248,0.0
963,Model_1252,0.0
964,Model_1256,0.0
965,Model_1260,0.0
966,Model_1262,0.0
967,Model_1266,0.0
968,Model_1272,0.0
969,Model_1274,0.0
145,Brand_74,0.0
971,Model_1276,0.0
60,Shifter_18,0.0
59,Shifter_17,0.0
101,Color_140,0.0
138,Brand_60,0.0
103,Color_160,0.0
131,Brand_46,0.0
58,Shifter_16,0.0
917,Model_1138,0.0
915,Model_1135,0.0
830,Model_910,0.0
859,Model_973,0.0
851,Model_960,0.0
852,Model_961,0.0
853,Model_963,0.0
165,Model_10,0.0
855,Model_965,0.0
856,Model_966,0.0
857,Model_967,0.0
858,Model_970,0.0
860,Model_974,0.0
870,Model_1005,0.0
861,Model_975,0.0
862,Model_976,0.0
863,Model_978,0.0
864,Model_980,0.0
865,Model_981,0.0
866,Model_985,0.0
867,Model_998,0.0
868,Model_1000,0.0
850,Model_959,0.0
849,Model_958,0.0
848,Model_957,0.0
847,Model_955,0.0
831,Model_912,0.0
832,Model_913,0.0
833,Model_916,0.0
834,Model_924,0.0
835,Model_926,0.0
836,Model_927,0.0
664,Model_568,0.0
837,Model_928,0.0
838,Model_930,0.0
839,Model_936,0.0
840,Model_940,0.0
841,Model_941,0.0
842,Model_943,0.0
843,Model_947,0.0
844,Model_948,0.0
845,Model_950,0.0
846,Model_954,0.0
869,Model_1004,0.0
871,Model_1006,0.0
914,Model_1134,0.0
148,Brand_80,0.0
895,Model_1069,0.0
896,Model_1070,0.0
153,Brand_86,0.0
898,Model_1073,0.0
64,Shifter_22,0.0
