ad_id,region_id,ad_price,numpictures,proseller,adoldness,mileage,clime_id,shifter,person_capacity,doorsnumber,color,brand_id,model_id,ccm,highlighted,antiguedad,category_id,msrp,car_type_id,weight,fuel_tank,boot_capacity,fuel,environmental_id,cylinders,drive_id,consump_mixed,top_speed,acceleration,torque,power
15284855,6,2990000,11,1,72,263000,5,26,5,4,90,59,57,1796,0,3083,3,13938630.0,12,1650.0,59.0,540.0,0,5,4.0,2,7.3,174.0,7.2,300.0,204.0
15284856,3,9999000,12,1,108,18300,5,27,5,4,190,99,90,1969,0,526,8,13525000.0,12,1678.0,55.0,500.0,3,7,4.0,1,5.1,205.0,9.9,320.0,150.0
15284937,3,10450000,12,1,109,22700,5,27,5,4,40,99,90,1969,0,678,8,15150000.0,12,1665.0,55.0,500.0,0,7,4.0,1,6.6,230.0,6.8,350.0,250.0
15478846,3,10990000,12,1,60,18037,5,27,5,4,10,99,90,1969,0,635,8,15150000.0,12,1665.0,55.0,500.0,0,7,4.0,1,6.6,230.0,6.8,350.0,250.0
15284967,14,7999000,3,1,109,0,2,15,6,4,0,69,261,1499,0,43836,5,9800000.0,9,1246.0,70.0,4200.0,3,7,4.0,1,5.1,160.0,17.1,270.0,102.0
15685352,3,7590000,10,1,1,4,2,15,5,4,10,69,29,1499,1,43943,5,9800000.0,9,1246.0,70.0,4200.0,3,7,4.0,1,5.1,160.0,17.1,270.0,102.0
15285032,3,399999,12,1,30,187000,2,14,5,5,40,76,146,1598,1,7343,2,4270000.0,5,1250.0,60.0,410.0,0,7,4.0,1,7.3,185.0,11.2,148.0,107.0
15419544,10,395000,4,1,37,278771,4,14,5,5,130,76,146,1598,0,7041,2,4270000.0,5,1250.0,60.0,410.0,0,7,4.0,1,7.3,185.0,11.2,148.0,107.0
15285104,3,190000,11,1,34,261564,3,14,5,4,30,81,184,1390,1,43836,1,2399000.0,12,975.0,45.0,455.0,0,7,4.0,1,7.0,157.0,15.7,116.0,60.0
15285134,14,8549000,6,1,109,1,5,0,5,5,20,40,498,1595,0,282,1,8290000.0,6,1538.0,50.0,430.0,0,7,4.0,1,5.8,215.0,8.9,250.0,156.0
15285177,14,8399000,5,1,109,1,5,0,5,5,20,40,498,1595,0,282,1,8290000.0,6,1538.0,50.0,430.0,0,7,4.0,1,5.8,215.0,8.9,250.0,156.0
15285163,3,1599000,9,1,71,175000,2,14,5,5,132,69,387,1248,0,3355,4,5340000.0,5,1318.0,54.0,400.0,3,5,4.0,1,4.5,168.0,13.8,180.0,95.0
15285257,12,2599000,6,1,73,225000,5,14,5,5,10,69,40,1598,0,1774,1,5850000.0,9,1437.0,56.0,500.0,0,6,4.0,1,6.7,185.0,12.3,155.0,116.0
15602010,12,2199000,6,1,28,225000,5,14,5,5,10,69,40,1598,0,1854,1,5850000.0,9,1437.0,56.0,500.0,0,6,4.0,1,6.7,185.0,12.3,155.0,116.0
15285343,1,11441500,6,1,74,1,5,15,5,5,0,13,108,1499,0,38,1,9319000.0,6,1365.0,42.0,380.0,0,7,3.0,2,5.7,213.0,8.5,220.0,140.0
15285363,3,9200000,12,1,108,35900,5,15,5,5,130,99,52,1969,0,952,9,11140000.0,13,1854.0,70.0,490.0,3,6,4.0,1,4.5,190.0,10.0,350.0,150.0
15285365,3,1590000,11,1,71,170899,2,14,5,5,130,39,33,1396,0,3416,1,4399000.0,6,1268.0,53.0,340.0,0,5,4.0,1,6.1,187.0,11.6,137.0,109.0
15399910,8,1960000,6,0,78,85000,2,14,5,5,40,39,33,1396,0,2958,1,4399000.0,6,1268.0,53.0,340.0,0,5,4.0,1,6.1,187.0,11.6,137.0,109.0
15631191,10,2199000,12,1,18,93760,2,14,5,5,10,39,33,1396,0,2898,1,4399000.0,6,1268.0,53.0,340.0,0,5,4.0,1,6.1,187.0,11.6,137.0,109.0
15285367,13,2299000,12,1,108,148000,4,14,5,5,110,87,238,1586,0,43836,4,4626000.0,6,1200.0,50.0,270.0,0,5,4.0,4,6.5,175.0,11.5,156.0,120.0
15285442,3,2190000,12,1,107,83732,5,15,4,2,0,76,158,1397,0,3083,1,7300000.0,2,1575.0,60.0,417.0,0,5,4.0,1,7.3,200.0,10.7,190.0,131.0
15285654,3,6199000,10,1,34,0,5,15,5,5,190,69,25,1199,1,43836,1,6250000.0,5,1431.0,60.0,597.0,0,7,3.0,1,5.7,175.0,11.8,205.0,110.0
15330441,14,6199000,2,1,16,0,2,15,7,5,0,69,25,1199,0,43848,1,6250000.0,5,1431.0,60.0,597.0,0,7,3.0,1,5.7,175.0,11.8,205.0,110.0
15392071,14,6199000,2,1,5,0,2,15,7,5,0,69,25,1199,1,43863,1,6250000.0,5,1431.0,60.0,597.0,0,7,3.0,1,5.7,175.0,11.8,205.0,110.0
15392077,14,6199000,2,1,5,0,2,15,7,5,0,69,25,1199,1,43863,1,6250000.0,5,1431.0,60.0,597.0,0,7,3.0,1,5.7,175.0,11.8,205.0,110.0
15393556,14,6199000,2,1,4,0,2,15,7,5,0,69,25,1199,1,43864,1,6250000.0,5,1431.0,60.0,597.0,0,7,3.0,1,5.7,175.0,11.8,205.0,110.0
15406167,3,5499000,9,1,1,0,2,15,5,5,10,69,25,1199,1,43867,1,6250000.0,5,1431.0,60.0,597.0,0,7,3.0,1,5.7,175.0,11.8,205.0,110.0
15670950,14,6199000,2,1,5,0,2,15,7,5,0,69,25,1199,1,43939,1,6250000.0,5,1431.0,60.0,597.0,0,7,3.0,1,5.7,175.0,11.8,205.0,110.0
15285686,15,666000,5,1,67,26457,1,14,5,5,10,19,383,1461,0,798,4,2950000.0,6,1085.0,50.0,320.0,3,6,4.0,1,3.5,168.0,14.6,200.0,75.0
15285801,20,1449000,12,1,72,272000,5,14,5,4,190,8,6,1595,0,5212,6,6456000.0,12,1295.0,70.0,460.0,0,4,4.0,1,8.0,190.0,12.6,148.0,102.0
15347721,8,1350000,9,0,17,313000,5,14,5,4,130,8,6,1595,1,5259,6,6456000.0,12,1295.0,70.0,460.0,0,4,4.0,1,8.0,190.0,12.6,148.0,102.0
15409293,3,1598000,8,1,2,268000,5,14,5,4,0,8,6,1595,1,43868,6,6456000.0,12,1295.0,70.0,460.0,0,4,4.0,1,8.0,190.0,12.6,148.0,102.0
15512279,3,1598000,8,1,13,268000,5,14,5,4,0,8,6,1595,0,5423,6,6456000.0,12,1295.0,70.0,460.0,0,4,4.0,1,8.0,190.0,12.6,148.0,102.0
15535849,14,1599000,12,1,10,155000,5,14,5,4,22,8,6,1595,0,43897,6,6456000.0,12,1295.0,70.0,460.0,0,4,4.0,1,8.0,190.0,12.6,148.0,102.0
15649745,7,2098000,12,1,11,121098,5,14,5,4,130,8,6,1595,0,4609,6,6456000.0,12,1295.0,70.0,460.0,0,4,4.0,1,8.0,190.0,12.6,148.0,102.0
